year,language,movie
1986,"['Tamil', 'Telugu', 'Tamil', 'Tamil', 'Telugu', 'Tamil']","['Vikram', 'Swathi Muthyam', 'Naanum Oru Thozhilali', 'Manakanakku', 'Oka Radha Iddaru Krishnulu', 'Punnagai Mannan']"
1987,"['Tamil', 'Malayalam', 'Tamil', 'Tamil', 'Silent', 'Tamil']","['Kadhal Parisu', 'Vrutham', 'Kadamai Kanniyam Kattupaadu', 'Per Sollum Pillai', 'Pushpaka Vimana', 'Nayakan']"
1988,"['Malayalam', 'Tamil', 'Tamil', 'Tamil']","['Daisy', 'Soora Samhaaram', 'Unnal Mudiyum Thambi', 'Sathya']"
1989,"['Tamil', 'Malayalam', 'Tamil', 'Telugu']","['Apoorva Sagodharargal', 'Chanakyan', 'Vetri Vizha', 'Indrudu Chandrudu']"
1990,['Tamil'],['Michael Madana Kama Rajan']
1991,['Tamil'],['Gunaa']
1992,"['Tamil', 'Tamil']","['Singaravelan', 'Thevar Magan']"
1993,"['Tamil', 'Tamil']","['Maharasan', 'Kalaignan']"
1994,"['Tamil', 'Tamil', 'Tamil']","['Mahanadi', 'Magalir Mattum', 'Nammavar']"
1995,"['Tamil', 'Telugu', 'Tamil']","['Sathi Leelavathi', 'Subha Sankalpam', 'Kuruthipunal']"
1996,"['Tamil', 'Tamil']","['Indian', 'Avvai Shanmugi']"
1997,['Hindi'],['Chachi 420']
1998,['Tamil'],['Kaathala Kaathala']
2000,"['Tamil', 'Hindi', 'Tamil']","['Hey Ram', 'Hey Ram', 'Thenali']"
2001,"['Tamil', 'Hindi', 'Tamil']","['Aalavandhan', 'Abhay', 'Parthale Paravasam']"
2002,"['Tamil', 'Tamil']","['Pammal K. Sambandam', 'Panchathanthiram']"
2003,"['Tamil', 'Tamil']","['Anbe Sivam', 'Nala Damayanthi']"
2004,"['Tamil', 'Tamil']","['Virumaandi', 'Vasool Raja MBBS']"
2005,"['Tamil', 'Hindi', 'Kannada']","['Mumbai Express', 'Mumbai Xpress', 'Rama Shama Bhama']"
2006,['Tamil'],['Vettaiyaadu Vilaiyaadu']
2008,['Tamil'],['Dasavathaaram']
2009,"['Tamil', 'Telugu']","['Unnaipol Oruvan', 'Eenadu']"
2010,"['Malayalam', 'Tamil']","['Four Friends', 'Manmadhan Ambu']"
2013,"['Tamil', 'Hindi']","['Vishwaroopam', 'Vishwaroop']"
2015,"['Tamil', 'Tamil', 'Tamil', 'Telugu']","['Uttama Villain', 'Papanasam', 'Thoongaa Vanam', 'Cheekati Rajyam']"
2016,['Tamil'],['Meen Kuzhambum Mann Paanaiyum']
2017,"['Tamil', 'Telugu', 'Hindi', 'Tamil', 'Hindi']","['Sabaash Naidu\xc2\xa0', 'Sabaash Naidu\xc2\xa0', 'Shabhash Kundu\xc2\xa0', 'Vishwaroopam II\xc2\xa0', 'Vishwaroop II\xc2\xa0']"
